Headline,Article,Date
1400 Nevelsk families who lost homes in quake to stay on Sakhalin,"...YUZHNO-SAKHALINSK, August 5 (Itar-Tass) - Over 1,400 families
 from the town of Nevelsk on the Sakhalin Island who lost homes in
 last year's devastating earthquake and who got state housing
 certificates have decided to stay on Sakhalin and purchase
 apartments in other cities of the island. ... Head of the construction department of the Sakhalin region
 administration Yelena Ivashova said on Tuesday that 1,850 housing
 certificates were issued earlier for Nevelsk residents and 1,423
 certificates have been presented on Sakhalin for the acquisition of
 housing....","Aug. 05, 2008"
2 % of inundated houses in western Ukraine insured - president,"...LVOV, August 5 (Itar-Tass) - Just two percent of houses
 destroyed by the devastating floods in western Ukraine were
 insured, Ukrainian President Viktor Yushchenko said in the
 Skolevsky district of the Lvov region on Tuesday, where repair
 works commenced on a high-pressure gas pipeline. ... The government allocated 100,000 dollars for the repairs,
 although ""the restoration of such supply lines should be covered by
 insurance payments,"" Yushchenko said. ... In his opinion, ""Ukrainians mistrust the insurance system, so
 the country's leadership will be working toward perfecting it....","Aug. 05, 2008"
600 children detained in Krasnodar for night - time strolls,"...KRASNODAR, August 5 (Itar-Tass) - Police in Russia's Krasnodar
 Territory rounded up some 600 adolescents who violated the new
 region law on prevention of child neglect and juvenile crime. The
 law came into effect on August 1, city police spokesman Ilya
 Shakalov told Itar-Tass. ... ""The youngsters, aged from 7 to pre-legal age, were detained for
 being in public places after 21:00 and 22:00 without adult escorts.
 All the youths were delivered to parents against acknowledgement;
 and police officers had to remind the parents about their
 responsibility under the new law,"" the spokesman said....","Aug. 05, 2008"
"ALROSA, Diamond Chamber auction $31 milion worth of diamonds","...MOSCOW, August 5 (Itar-Tass) - The ALROSA diamond producing
 company and the Diamond Chamber of Russia have sold diamonds worth
 over 31 million US dollars at the 30th international auction for
 the sale of special-size diamonds that was held in Moscow, ALROSA
 said in a press release. ... Taking into account the starting price of the diamonds, the
 selling price was 70 percent higher. One of the lots was sold at a
 record high price of over 66,000 US dollars for one carat,
 Prime-Tass reported on Monday....","Aug. 05, 2008"
Ambassador denies alleged peacekeepers' involvement in shooting incidents,"...TBILISI, August 5 (Itar-Tass) - Russian Ambassador in Tbilisi
 Vyacheslav Kovalenko has refuted media reports, which claimed the
 alleged involvement of Russian peacekeepers in the bombardment of
 Georgian villages in the Georgian-Ossetian conflict zone. ... Kovalenko and other heads of diplomatic missions accredited in
 Tbilisi visited a number of Georgian villages in the conflict zone
 on Tuesday. The villages were shelled on July 31- August 2. The
 Georgian interior and foreign ministries organized the tour....","Aug. 05, 2008"
Authorities know of weapons brought in Kyrgyzstan - US embassy,"...BISHKEK, August 5 (Itar-Tass) - Sources from the U.S. Embassy to
 Kyrgyzstan said on Tuesday that weapons and ammunition found by
 Kyrgyz police in a private house in Bishkek rented by U.S.
 diplomats had been brought in the country with knowledge and
 consent of Kyrgyz authorities. ... According to diplomats, they were intended for anti-terrorist
 training of specialists of Kyrgyz law enforcement agencies by U.S.
 military. They said U.S. military had arrived in Bishkek at the
 invitation of Kyrgyz authorities and were legally staying in the
 country....","Aug. 05, 2008"
Azerbaijani territorial integrity vital in Karabakh settlement - Aliyev,"...BAKU, August 5 (Itar-Tass) - The Karabakh conflict must be
 resolved within the territorially integral Azerbaijan, President
 Ilham Aliyev said at the Tuesday meeting of the national
 government. ... ""The main essence of the settlement negotiations is the
 restoration of the territorial integrity of Azerbaijan. We do not
 discuss any options outside this framework,"" he said. ... It is possible to discuss the future status of Karabakh, the
 president said. ""However, no status is possible without consent of
 the Azerbaijani state....","Aug. 05, 2008"
Baikal deepwater missions organizer refutes reports on search for Adm Kolchak's gold,"...MOSCOW, August 5 (Itar-Tass) - Deepwater descent missions on
 Lake Baikal do not have any objectives that might pertain to a
 digging-up of dubious sensations, hoards or a missing gold reserve
 left behind by Admiral Kolchak, a Russian royalist who ruled the
 Urals and Siberia from 1918 through to 1920, Member of Parliament
 Artur Chilingarov, who stands at the head of the Baikal expedition
 told a news conference Monday. ... ""Baikal is Russia's treasure in itself and our main objective is
 to study it at an advanced level so as to generate healthy interest
 towards the lake, in the first place, as well as toward its
 protection and a rational use of its resources,"" Chilingarov said
 as he addressed reporters at Itar-Tass......","Aug. 05, 2008"
Belarus President praises Solzhenitsyn as outstanding prose writer,"...MINSK, August 5 (Itar-Tass) - President Alexander Lukashenko of
 Belarus has expressed condolences to the family of Russian Nobel
 Prize winning writer Alexander Solzhenitsyn, who passed away in
 Moscow at the age of 90 late night Sunday. ... ""Alexander Isayevich /Solzhenitsyn's patronymic - Itar-Tass/
 went down in history as a superb author of Russian prose, publicist
 and thinker,"" Lukashenko said. ""His works are marked by courage,
 historical verity and indepth analysis of acutest social and moral
 problems....","Aug. 05, 2008"
Belarus fully pays for gas supplied in January - June - Gazprom,"...MOSCOW, August 5 (Itar-Tass) - Belarus has fully repaid Russian
 natural gas deliveries of the first half of this year, Gazprom said
 in comments on a Tuesday meeting between Gazprom Deputy CEO Valery
 Golubev, Belarusian Deputy Energy Minister Rimma Filimonova and
 Beltransgaz Director General Vladimir Mayorov. ... ""The sides summed up results of gas cooperation in the first
 half of this year and discussed prospects for the rest of 2008,""
 the company said. ""The sides expressed mutual satisfaction with the
 fulfillment of the long-term gas delivery and transit
 contract....","Aug. 05, 2008"
